cmd_id,cuis_selected,preferred,har_manual,X2nd_har,X3rd_har,final,final_cui
367,C0184666;C1272706;C1507009,Hospital admission Interval Pain onset,Pain ,,,Pain ,NA
368,C1272706;C1532338,Interval Percutaneous Coronary Intervention,Percutaneous Coronary Intervention,,,Percutaneous Coronary Intervention,C1532338
369,C2347958;C0041703,Resident (person) United States,Racial group,,,Racial group,C0034510
370,C0011860;C3665365;C1518422,"Diabetes Mellitus, Non-Insulin-Dependent Arteriosclerotic cardiovascular disease, NOS Negation",Diabetes Mellitus,,,Diabetes Mellitus,C0011849
371,C0007430;C0022877;C4534362,Catheterization Laboratory In-center,Catheterization,,,Catheterization,C0007430
372,C0006280;C0871261,Bronchodilator Agents Response process,Bronchodilator Agents,,,Bronchodilator Agents,C0006280
373,C0024117;C0439793;C0449820,Chronic Obstructive Airway Disease Severities Score,Chronic Obstructive Airway Disease,,,Chronic Obstructive Airway Disease,C0024117
374,C0117996;C0586793;C1518422;eitheror,Fluticasone propionate Inhaled steroids use Negation Either one or other,Inhaled steroids use,,,Inhaled steroids use,C0586793
375,C0117996;C0586793;eitheror,Fluticasone propionate Inhaled steroids use Either one or other,Fluticasone propionate,,,Fluticasone propionate,C0117996
376,C0457591;C0586793,Type of drug Inhaled steroids use,Inhaled steroids use,,,Inhaled steroids use,C0586793
377,C1518422;eitheror;C0586793,Negation Either one or other Inhaled steroids use,Inhaled steroids use,,,Inhaled steroids use,C0586793
378,C2348561;C2930696;C1710475,Study Population (group) tofacitinib Trial Phase,tofacitinib,Immunosuppressive Agents,,Immunosuppressive Agents,C0021081
379,C2930696;C1710475;C2348561,tofacitinib Trial Phase Study Population (group),tofacitinib,Immunosuppressive Agents,,Immunosuppressive Agents,C0021081
380,C2930696;C2348561,tofacitinib Study Population (group),tofacitinib,Immunosuppressive Agents,,Immunosuppressive Agents,C0021081
381,C0032042;C0742906,Placebos Elevated C-reactive protein,C-Reactive Protein,,,C-Reactive Protein,NA
382,C1872109;C0742906,certolizumab pegol Elevated C-reactive protein,certolizumab pegol,Tumor necrosis factor alpha (TNF-?) inhibitors,Immunosuppressive Agents,Immunosuppressive Agents,C0021081
383,C1518422;C2826257;C0666743,Negation Prior Medication Usage infliximab,infliximab,Tumor necrosis factor alpha (TNF-?) inhibitors,Immunosuppressive Agents,Immunosuppressive Agents,C0021081
384,C4076075;C2826257,Infliximab therapy Prior Medication Usage,infliximab,Tumor necrosis factor alpha (TNF-?) inhibitors,Immunosuppressive Agents,Immunosuppressive Agents,C0021081
385,C0019664;C4554100,"History Stroke, CTCAE",Medical History,,,Medical History,C0262926
385,C0019664;C4554100,"History Stroke, CTCAE","Stroke, CTCAE",,,"Stroke, CTCAE",C4554100
386,C0085826;C0205156;C0205191;C1524063,Antiplatelet Agents Previous chronic Use of,Antiplatelet Agents,,,Antiplatelet Agents,C0085826
387,C0205156;C0011849,Previous Diabetes Mellitus,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
388,C1697238;C1442488,NIH stroke scale Baseline,NIH stroke scale,"Stroke, CACTE",,"Stroke, CACTE",NA
389,C0337672;C0521116,Non-smoker Current (present time),Smoking Status,,,Smoking Status,C1519386
390,C0030705;C0003873;C0038013;C0003872,"Patients Rheumatoid Arthritis Ankylosing spondylitis Arthritis, Psoriatic",Ankylosing spondylitis,,,Ankylosing spondylitis,C0038013
390,C0030705;C0003873;C0038013;C0003872,"Patients Rheumatoid Arthritis Ankylosing spondylitis Arthritis, Psoriatic","Arthritis, Psoriatic",,,"Arthritis, Psoriatic","C0003872	"
390,C0030705;C0003873;C0038013;C0003872,"Patients Rheumatoid Arthritis Ankylosing spondylitis Arthritis, Psoriatic","Arthritis, Psoriatic",,,"Arthritis, Psoriatic",C0003872
390,C0030705;C0003873;C0038013;C0003872,"Patients Rheumatoid Arthritis Ankylosing spondylitis Arthritis, Psoriatic",Rheumatoid Arthritis,,,Rheumatoid Arthritis,C0003873
391,C0030705;C0038013;C0003872;C0003873;C1518422,"Patients Ankylosing spondylitis Arthritis, Psoriatic Rheumatoid Arthritis Negation",Ankylosing spondylitis,,,Ankylosing spondylitis,C0038013
391,C0030705;C0038013;C0003872;C0003873;C1518422,"Patients Ankylosing spondylitis Arthritis, Psoriatic Rheumatoid Arthritis Negation","Arthritis, Psoriatic",,,"Arthritis, Psoriatic","C0003872	"
391,C0030705;C0038013;C0003872;C0003873;C1518422,"Patients Ankylosing spondylitis Arthritis, Psoriatic Rheumatoid Arthritis Negation","Arthritis, Psoriatic",,,"Arthritis, Psoriatic",C0003872
391,C0030705;C0038013;C0003872;C0003873;C1518422,"Patients Ankylosing spondylitis Arthritis, Psoriatic Rheumatoid Arthritis Negation",Rheumatoid Arthritis,,,Rheumatoid Arthritis,C0003873
392,C0033860;C1518422,Psoriasis Negation,Psoriasis,,,Psoriasis,C0033860
393,C0033860;C1549445,Psoriasis Yes - Yes/no indicator,Psoriasis,,,Psoriasis,C0033860
394,C0025266;C1532338;C0205226,Male population group Percutaneous Coronary Intervention Primary,Gender,,,Gender,C0079399
394,C0025266;C1532338;C0205225,Male population group Percutaneous Coronary Intervention Primary,Percutaneous Coronary Intervention,,,Percutaneous Coronary Intervention,C1532338
395,C0043210;C1532338;C0205225,Woman Percutaneous Coronary Intervention Primary,Gender,,,Gender,C0079399
395,C0043210;C1532338;C0205225,Woman Percutaneous Coronary Intervention Primary,Percutaneous Coronary Intervention,,,Percutaneous Coronary Intervention,C1532338
396,C1882085;C1882086;C0428772,New York Heart Association Class II New York Heart Association Class III Left ventricular ejection fraction,Left ventricular ejection fraction,,,Left ventricular ejection fraction,C0428772
396,C1882085;C1882086;C0428772,New York Heart Association Class II New York Heart Association Class III Left ventricular ejection fraction,New York Heart Association Class,,,New York Heart Association Class,C1882083
397,C0011849;C0150312,Diabetes Mellitus Present,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
398,C0011849;C0332197;C0011816,Diabetes Mellitus Absent Dextromethorphan,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
399,C0074554;C1696465,Simvastatin placebo,Simvastatin,HMG CoA reductase inhibitors,LIPID MODIFYING AGENTS,LIPID MODIFYING AGENTS,NA
400,C1704675;C1709380,Interaction P-Value,NA TO BE DELETED,,,NA TO BE DELETED,NA
401,C0027051;C0205156,Myocardial Infarction Previous,Myocardial Infarction,,,Myocardial Infarction,C0027051
402,C0085201;C0456603,Apolipoprotein A-I Ratio,Apolipoprotein A-I,,,Apolipoprotein A-I,C0085201
403,C0205156;C0581603,Previous Revascularization - action,Revascularization - action,,,Revascularization - action,C0581603
404,C0205156;C1963138,"Previous Hypertension, CTCAE","Hypertension, CTCAE",,,"Hypertension, CTCAE",C1963138
405,C0439268;C4048285,"Microgram per Milliliter C-Reactive Protein, human",C-Reactive Protein,,,C-Reactive Protein,NA
406,C0439294;C4048285,"Kilogram per Cubic Meter C-Reactive Protein, human",C-Reactive Protein,,,C-Reactive Protein,NA
407,C0337671;C3241966,Smoking Status,Smoking Status,,,Smoking Status,C1519386
408,C0205307;C1561643;C2945599,Normal Chronic Kidney Diseases Mild (qualifier value),Chronic Kidney Diseases,Kidney Diseases,,Kidney Diseases,C0022658
409,C1561643;C0205081,Chronic Kidney Diseases Moderate (severity modifier),Chronic Kidney Diseases,Kidney Diseases,,Kidney Diseases,C0022658
410,C0428883;C0439475;C0442592;C0439092,Diastolic blood pressure mmHg Clinic Less Than,Blood Pressure,,,Blood Pressure,C0005823
411,C0428883;C0439475;C4534363;C0439092,Diastolic blood pressure mmHg At home Less Than,Blood Pressure,,,Blood Pressure,C0005823
412,C0428883;C0442592;C0439475;C0205172,Diastolic blood pressure Clinic mmHg More,Blood Pressure,,,Blood Pressure,C0005823
413,C0439475;C0442592;C0871470;C0439092,mmHg Clinic Systolic Pressure Less Than,Blood Pressure,,,Blood Pressure,C0005823
414,C0439475;C0871470;C4534363;C0439092,mmHg Systolic Pressure At home Less Than,Blood Pressure,,,Blood Pressure,C0005823
415,C0442592;C0871470;C0439475;C0205172,Clinic Systolic Pressure mmHg More,Blood Pressure,,,Blood Pressure,C0005823
416,C0871470;C4534363;C0439475;C0205172,Systolic Pressure At home mmHg More,Blood Pressure,,,Blood Pressure,C0005823
417,C4534363;C0428883;C0439475;C0205172,At home Diastolic blood pressure mmHg More,Blood Pressure,,,Blood Pressure,C0005823
418,C0205156;C1956346,Previous Coronary Artery Disease,Coronary Artery Disease,,,Coronary Artery Disease,C1956346
419,C0041004;C0428471,Triglycerides HDL - High density lipoprotein cholesterol level result,lipoprotein cholesterol,,,lipoprotein cholesterol,C0065055
420,C0017887;C0522082,Nitroglycerin Normal glucose level,Glucose,,,Glucose,C0017725
420,C0017887;C0522082,Nitroglycerin Normal glucose level,Nitroglycerin,,,Nitroglycerin,C0017887
421,C0522082;C0271650,Normal glucose level Impaired glucose tolerance,Glucose,,,Glucose,C0017725
421,C0522082;C0271650,Normal glucose level Impaired glucose tolerance,Impaired glucose tolerance,,,Impaired glucose tolerance,C0271650
422,C1706005;C0271650,CD40LG wt Allele Impaired glucose tolerance,CD40LG wt Allele,Genotype,,Genotype,C0017431
422,C1706005;C0271650,CD40LG wt Allele Impaired glucose tolerance,Impaired glucose tolerance,,,Impaired glucose tolerance,C0271650
423,C1306889;C1704436;C1442488,Peripheral arterial occlusive disease Peripheral Arterial Diseases Baseline,Peripheral Arterial Diseases,,,Peripheral Arterial Diseases,"C1704436	  "
423,C1306889;C1704436;C1442488,Peripheral arterial occlusive disease Peripheral Arterial Diseases Baseline,Peripheral Arterial Diseases,,,Peripheral Arterial Diseases,C1704436
423,C1306889;C1704436;C1442488,Peripheral arterial occlusive disease Peripheral Arterial Diseases Baseline,Peripheral arterial occlusive disease,,,Peripheral arterial occlusive disease,C1306889
424,C1704436;C1518422;C1442488,Peripheral Arterial Diseases Negation Baseline,Peripheral Arterial Diseases,,,Peripheral Arterial Diseases,"C1704436	  "
424,C1704436;C1518422;C1442488,Peripheral Arterial Diseases Negation Baseline,Peripheral Arterial Diseases,,,Peripheral Arterial Diseases,C1704436
425,C0010592;C0332268,Cyclosporine Lacking,Cyclosporins,,,Cyclosporins,C0010594
426,C0025677;C0332268,Methotrexate Lacking,Immunosuppressive Agents,,,Immunosuppressive Agents,C0021081
427,C1514463;C0205373,Prior Therapy Systemic,NA TO BE DELETED,,,NA TO BE DELETED,NA
428,C1514463;C0332268;C0205373,Prior Therapy Lacking Systemic,NA TO BE DELETED,,,NA TO BE DELETED,NA
429,C0205250;C1619634;C0006560;;bothand,High erythrocyte sedimentation rate result C-reactive protein NA BOTH AND,C-reactive protein,,,C-reactive protein,C0006560
429,C0205250;C1619634;C0006560;;bothand,High erythrocyte sedimentation rate result C-reactive protein NA BOTH AND,erythrocyte sedimentation rate result,,,erythrocyte sedimentation rate result,C1619634
430,C0205250;C1619634;C0006560;eitheror,High erythrocyte sedimentation rate result C-reactive protein Either one or other,C-reactive protein,,,C-reactive protein,C0006560
430,C0205250;C1619634;C0006560;eitheror,High erythrocyte sedimentation rate result C-reactive protein Either one or other,erythrocyte sedimentation rate result,,,erythrocyte sedimentation rate result,C1619634
431,C0449820;C0012634;C0449279,Score Disease Extent of disease,NA TO BE DELETED,,,NA TO BE DELETED,NA
432,C0449820;C0457451,Score Severity score,NA TO BE DELETED,,,NA TO BE DELETED,NA
433,C1619634;C0205307;C0006560,erythrocyte sedimentation rate result Normal C-reactive protein,erythrocyte sedimentation rate result,,,erythrocyte sedimentation rate result,C1619634
434,C0011900;C0918012,Diagnosis Index,NA TO BE DELETED,,,NA TO BE DELETED,NA
435,C0205390;C0679823,Phase participation,NA TO BE DELETED,,,NA TO BE DELETED,NA
436,C0441471;C1532338;C0918012,Event Percutaneous Coronary Intervention Index,Percutaneous Coronary Intervention,,,Percutaneous Coronary Intervention,C1532338
437,C0520886;C1518422;C0948089,ST segment elevation (finding) Negation Acute Coronary Syndrome,Acute Coronary Syndrome,,,Acute Coronary Syndrome,C0948089
437,C0520886;C1518422;C0948089,ST segment elevation (finding) Negation Acute Coronary Syndrome,ST segment elevation (finding),,,ST segment elevation (finding),C0520886
438,C0004057;C0332152,Aspirin Before,Aspirin,,,Aspirin,C0004057
439,C0004057;C0332152;C1518422,Aspirin Before Negation,Aspirin,,,Aspirin,C0004057
440,C0041199;C0205307,Troponin Normal,Troponin,,,Troponin,C0041199
441,C0041199;C3163633,Troponin Elevated,Troponin,,,Troponin,C0041199
442,C0520887;C0520886,ST segment depression (finding) ST segment elevation (finding),ST segment elevation (finding),,,ST segment elevation (finding),C0520886
443,C0520887;C0520886;C1518422,ST segment depression (finding) ST segment elevation (finding) Negation,ST segment depression (finding),,,ST segment depression (finding),C0520887
444,C1280500;C1561607,Effect Overall,NA TO BE DELETED,,,NA TO BE DELETED,NA
445,C0001645;C0445204,Adrenergic beta-Antagonists Preoperative,Adrenergic beta-Antagonists,,,Adrenergic beta-Antagonists,C0001645
446,C0001645;C1518422;C0445204,Adrenergic beta-Antagonists Negation Preoperative,Adrenergic beta-Antagonists,,,Adrenergic beta-Antagonists,C0001645
447,C0010055;C0018826;C0559956;C0332288,Coronary Artery Bypass Surgery Heart Valves Replacement Without,Coronary Artery Bypass Surgery,,,Coronary Artery Bypass Surgery,C0010055
447,C0010055;C0018826;C0559956;C0332288,Coronary Artery Bypass Surgery Heart Valves Replacement Without,Heart Valves Replacement,,,Heart Valves Replacement,NA
448,C0002598;C0205156;C1524063,Amiodarone Previous Use of,Amiodarone,"Antiarrhythmics, class III",CARDIAC THERAPY,CARDIAC THERAPY,NA
449,C0003195;C0205156;C1524063,Anti-Arrhythmia Agents Previous Use of,Anti-Arrhythmia Agents,,,Anti-Arrhythmia Agents,C0003195
450,C0018801;C0243161,Heart failure criteria,Heart failure,,,Heart failure,C0018801
451,C0225860;C1301886,Left atrial structure Diameter (qualifier value),Left atrial structure,,,Left atrial structure,C0225860
452,C0439228;C1321500,day Conversion of cardiac rhythm to sinus rhythm,Conversion of cardiac rhythm to sinus rhythm,,,Conversion of cardiac rhythm to sinus rhythm,C1321500
453,C0034656;C3653316,Randomization Vitamin K antagonists,Vitamin K antagonists,Antithrombotic Agents,,Antithrombotic Agents,C1704311
454,C0034656;C3653316;C1518422,Randomization Vitamin K antagonists Negation,Vitamin K antagonists,Antithrombotic Agents,,Antithrombotic Agents,C1704311
455,C2003901;C3653316,Never (frequency) Vitamin K antagonists,Vitamin K antagonists,Antithrombotic Agents,,Antithrombotic Agents,C1704311
456,C3653316;C0205156;C1518422,Vitamin K antagonists Previous Negation,Vitamin K antagonists,Antithrombotic Agents,,Antithrombotic Agents,C1704311
457,C3653316;C0596545,Vitamin K antagonists Experience,Vitamin K antagonists,Antithrombotic Agents,,Antithrombotic Agents,C1704311
458,C3653316;C3887636,Vitamin K antagonists Ever,Vitamin K antagonists,Antithrombotic Agents,,Antithrombotic Agents,C1704311
459,C0002598;C1518422,Amiodarone Negation,Amiodarone,"Antiarrhythmics, class III",CARDIAC THERAPY,CARDIAC THERAPY,NA
460,C0004057;C1518422,Aspirin Negation,Aspirin,,,Aspirin,C0004057
461,C0358591;C1518422,Proton Pump Inhibitors Negation,Proton Pump Inhibitors,,,Proton Pump Inhibitors,C0358591
462,C0005847;C1306577,Blood Vessel Death (finding),Blood Vessel,,,Blood Vessel,C0005847
463,C0013922;C0205373;C4554100,"Embolism Systemic Stroke, CTCAE",Embolism,,,Embolism,C0013922
463,C0013922;C0205373;C4554100,"Embolism Systemic Stroke, CTCAE","Stroke, CTCAE",,,"Stroke, CTCAE",C4554100
464,C0019080;C0205164,Hemorrhage Major,Hemorrhage,,,Hemorrhage,C0019080
465,C0439810;C1306577,Total Death (finding),NA TO BE DELETED,,,NA TO BE DELETED,NA
466,C0018801;C1518422,Heart failure Negation,Heart failure,,,Heart failure,C0018801
467,C0038454;C1518422,Cerebrovascular accident Negation,Cerebrovascular accident,,,Cerebrovascular accident,C0038454
468,C1956346;C1518422,Coronary Artery Disease Negation,Coronary Artery Disease,,,Coronary Artery Disease,C1956346
469,C0011849;C1171304,Diabetes Mellitus diabetes risk,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
469,C0011849;C1171304,Diabetes Mellitus diabetes risk,diabetes risk,,,diabetes risk,C1171304
470,C0001779;C1709380,Age P-Value,Age-Years,,,Age-Years,C1510829
471,C0027362;C1709380;C1704675,Human Age Group P-Value Interaction,Age-Years,,,Age-Years,C1510829
472,C0439508;C0441471,per year Event,NA TO BE DELETED,,,NA TO BE DELETED,NA
473,C2985465;C0009667,Hazard Ratio Confidence Intervals,NA TO BE DELETED,,,NA TO BE DELETED,NA
474,C0038454;C0040038,Cerebrovascular accident Thromboembolism,Cerebrovascular accident,,,Cerebrovascular accident,C0038454
474,C0038454;C0040038,Cerebrovascular accident Thromboembolism,Thromboembolism,,,Thromboembolism,C0040038
475,C1306577;C1558950,Death (finding) Adverse Event Associated with Vascular,NA TO BE DELETED,,,NA TO BE DELETED,NA
476,C0003209;C1549445,Anti-Inflammatory Agents Yes - Yes/no indicator,Anti-Inflammatory Agents,,,Anti-Inflammatory Agents,C0003209
477,C0003209;C2003901,Anti-Inflammatory Agents Never (frequency),Anti-Inflammatory Agents,,,Anti-Inflammatory Agents,C0003209
478,C0025677;C1442488,Methotrexate Baseline,Immunosuppressive Agents,,,Immunosuppressive Agents,C0021081
479,C0025677;C1518422;C1442488,Methotrexate Negation Baseline,Immunosuppressive Agents,,,Immunosuppressive Agents,C0021081
480,C0025677;C4055380,Methotrexate Biologic Disease-Modifying Antirheumatic Drug,"Antirheumatic Drugs, Disease-Modifying",,,"Antirheumatic Drugs, Disease-Modifying",C0242708
480,C0025677;C4055381,Methotrexate Biologic Disease-Modifying Antirheumatic Drug,Methotrexate,Immunosuppressive Agents,,Immunosuppressive Agents,C0021081
481,C0025677;C4055380;C1518422,Methotrexate Biologic Disease-Modifying Antirheumatic Drug Negation,"Antirheumatic Drugs, Disease-Modifying",,,"Antirheumatic Drugs, Disease-Modifying",C0242708
481,C0025677;C4055380;C1518423,Methotrexate Biologic Disease-Modifying Antirheumatic Drug Negation,Methotrexate,Immunosuppressive Agents,,Immunosuppressive Agents,C0021081
482,C0429706;C1882327,Forced expiratory volume in 1 second finding Percent of Predicted Value,Forced expiratory volume in 1 second finding,Forced expiratory volume function,,Forced expiratory volume function,C0016529
483,C1442488;C2964552;C0034380,Baseline Total score Quality of life,Quality of life,,,Quality of life,C0034380
484,C4086268;C0205156;C0439234,Exacerbation Previous year,NA TO BE DELETED,,,NA TO BE DELETED,NA
485,C4086268;C0439234;C0205156,Exacerbation year Previous,NA TO BE DELETED,,,NA TO BE DELETED,NA
486,C0332132;C0027051,Prior diagnosis Myocardial Infarction,Myocardial Infarction,,,Myocardial Infarction,C0027051
487,C1442488;C0439593;C0242896,Baseline Short duration Anticholinergic Agents,Anticholinergic Agents,,,Anticholinergic Agents,C0242896
488,C1442488;C1561566,"Baseline FEV1, CTCAE","FEV1, CTCAE",Forced expiratory volume function,,Forced expiratory volume function,C0016529
489,C1442488;C3887460;C3887704,Baseline Cardiovascular treatment - ActInformationManagementReason,Cardiovascular system,,,Cardiovascular system,C0007226
490,C0002962;C0155626,Angina Pectoris Acute myocardial infarction,Angina Pectoris,Angi Pectoris,,Angina Pectoris,C0002962
490,C0002962;C0155626,Angina Pectoris Acute myocardial infarction,Myocardial Infarction,,,Myocardial Infarction,C0027051
491,C0332287;LABA ;C0586793,In addition to long-acting beta agonist  Inhaled steroids use,Inhaled steroids use,,,Inhaled steroids use,C0586793
491,C0332287;LABA ;C0586793,In addition to long-acting beta agonist  Inhaled steroids use,long-acting beta agonist,,,long-acting beta agonist,NA
492,C1518422;C0586793,Negation Inhaled steroids use,Inhaled steroids use,,,Inhaled steroids use,C0586793
493,LABA ;C1518422,long-acting beta agonist  Negation,long-acting beta agonist,,,long-acting beta agonist,NA
494,C0017853;C1442488,"Hemoglobin, Glycosylated Baseline","Hemoglobin, Glycosylated",,,"Hemoglobin, Glycosylated",C0017853
495,C0015663;C0857690,Fasting plasma insulin,Insulin,,,Insulin,C0021641
496,C0086528;C0086409,Latinos Hispanics,Racial group,,,Racial group,C0034510
497,C0006558;C0015663,C-Peptide Fasting,C-Peptide,,,C-Peptide,C0006558
498,C0006558;C0376674,C-Peptide Postprandial Period,C-Peptide,,,C-Peptide,C0006558
499,C0015663;C0021641,Fasting Insulin,Insulin,,,Insulin,C0021641
500,C0015663;C0033362;C0439284,Fasting Proinsulin Picomole per Liter,Proinsulin,,,Proinsulin,C0033362
501,C0021641;C0376674,Insulin Postprandial Period,Insulin,,,Insulin,C0021641
502,C0033362;C0376674,Proinsulin Postprandial Period,Proinsulin,,,Proinsulin,C0033362
503,C0205199;C0918012;C0920563,Composite Index Insulin Sensitivity,Insulin Sensitivity,,,Insulin Sensitivity,C0920563
504,C0454664;C0017853,"Country Hemoglobin, Glycosylated","Hemoglobin, Glycosylated",,,"Hemoglobin, Glycosylated",C0017853
505,C0743223;C0918012,Disposition Index,NA TO BE DELETED,,,NA TO BE DELETED,NA
506,C0918012;C0221102;C0021641,Index Excretory function Insulin,Insulin,,,Insulin,C0021641
507,C4033634;C0376674,Blood Indices Postprandial Period,Blood Indices,,,Blood Indices,C4033634
508,C0021641;C0418981,Insulin Medical therapy,Insulin,,,Insulin,C0021641
509,C0021641;C0418981;C1524062,Insulin Medical therapy Additional,Insulin,,,Insulin,C0021641
510,C2348561;C0439810,Study Population (group) Total,NA TO BE DELETED,,,NA TO BE DELETED,NA
511,C0024117;C0439793,Chronic Obstructive Airway Disease Severities,Chronic Obstructive Airway Disease,,,Chronic Obstructive Airway Disease,C0024117
512,C0024117;C1292730,Chronic Obstructive Airway Disease Condition severity,Chronic Obstructive Airway Disease,,,Chronic Obstructive Airway Disease,C0024117
513,C1514463;C0586793;C1707479;LABA,Prior Therapy Inhaled steroids use Concomitant Therapy NA,Inhaled steroids use,,,Inhaled steroids use,C0586793
513,C1514463;C0586793;C1707479;LABA,Prior Therapy Inhaled steroids use Concomitant Therapy NA,long-acting beta agonist,,,long-acting beta agonist,NA
514,to add;C0586793,LABA Inhaled steroids use,Inhaled steroids use,,,Inhaled steroids use,C0586793
514,to add;C0586793,LABA Inhaled steroids use,long-acting beta agonist,,,long-acting beta agonist,NA
515,C0035448;C0521143,Rheumatoid Factor Seropositive,Rheumatoid Factor,,,Rheumatoid Factor,C0035448
516,C0035448;C0521144,Rheumatoid Factor Seronegative,Rheumatoid Factor,,,Rheumatoid Factor,C0035448
517,C0205156;C0281481;C0237753,Previous anti-tumor necrosis factor therapy Numbers,anti-tumor necrosis factor therapy,,,anti-tumor necrosis factor therapy,C0281481
518,C0205156;C4055380;C0457454,Previous Biologic Disease-Modifying Antirheumatic Drug Discontinuation (procedure),Biologic Disease-Modifying Antirheumatic Drug,,,Biologic Disease-Modifying Antirheumatic Drug,C4055380
519,C0445356;C1280519,Unrelated (finding) Effectiveness,NA TO BE DELETED,,,NA TO BE DELETED,NA
520,C0340288;C1518422;C4255010,Stable angina Negation Non-ST Elevated Myocardial Infarction,Non-ST Elevated Myocardial Infarction,Myocardial Infarction,,Myocardial Infarction,C0027051
520,C0340288;C1518422;C4255010,Stable angina Negation Non-ST Elevated Myocardial Infarction,Stable angina,,,Stable angina,C0340288
521,C0241863;C1549445,diabetic Yes - Yes/no indicator,Diabetes Mellitus,,,Diabetes Mellitus,C0011849
522,C1120149;C0332152,thienopyridine Before,thienopyridine,,,thienopyridine,C1120149
523,C1120149;C0332152;C1518422,thienopyridine Before Negation,thienopyridine,,,thienopyridine,C1120149
524,C0013404;C1518422,Dyspnea Negation,Dyspnea,,,Dyspnea,C0013404
525,C0013404;C1549445,Dyspnea Yes - Yes/no indicator,Dyspnea,,,Dyspnea,C0013404
526,C0518015;C1442488,Hemoglobin measurement Baseline,Hemoglobin,,,Hemoglobin,C0019046
527,C0518015;C1442488;C4321351,Hemoglobin measurement Baseline Low Level,Hemoglobin,,,Hemoglobin,C0019046
528,C0518015;C1561607,Hemoglobin measurement Overall,Hemoglobin,,,Hemoglobin,C0019046
529,C1280500;C0126174,Effect Losartan,Angiotensin Receptor Antagonists,,,Angiotensin Receptor Antagonists,C0815017
530,C0014442;C0003018;C0017432,Enzymes Angiotensins Genotype,Angiotensins,,,Angiotensins,C0003018
530,C0014442;C0003018;C0017431,Enzymes Angiotensins Genotype,Enzymes,,,Enzymes,C0014442
530,C0014442;C0003018;C0017433,Enzymes Angiotensins Genotype,Genotype,,,Genotype,C0017431
531,C0752046;C0022709,Single Nucleotide Polymorphism Peptidyl-Dipeptidase A,Peptidyl-Dipeptidase A,,,Peptidyl-Dipeptidase A,C0022709
531,C0752046;C0022709,Single Nucleotide Polymorphism Peptidyl-Dipeptidase A,Single Nucleotide Polymorphism,,,Single Nucleotide Polymorphism,C0752046
532,C0235974;C0007131,Pancreatic carcinoma Non-Small Cell Lung Carcinoma,Non-Small Cell Lung Carcinoma,,,Non-Small Cell Lung Carcinoma,C0007131
532,C0235974;C0007131,Pancreatic carcinoma Non-Small Cell Lung Carcinoma,Pancreatic carcinoma,,,Pancreatic carcinoma,C0235974
533,C1442488;C0017853,"Baseline Hemoglobin, Glycosylated","Hemoglobin, Glycosylated",,,"Hemoglobin, Glycosylated",C0017853
534,C0043237;C0456387;C1442488,World Health Organization Class Baseline,NA TO BE DELETED,,,NA TO BE DELETED,NA
535,C1442488;C0429886,Baseline Walking distance,Walking (activity),Physical activity,,Physical activity,C0026606
536,C1442488;C0005910,Baseline Body Weight,Body Weight,,,Body Weight,C0005910
537,C1442488;C0428568,Baseline Fasting blood glucose measurement,Fasting blood glucose,,,Fasting blood glucose,NA
538,C4013784;C1518422,"Hypertension, severe Negation","Hypertension, CTCAE",,,"Hypertension, CTCAE",C1963138
539,C0023822;C1518422,High Density Lipoprotein Cholesterol Negation,lipoprotein cholesterol,,,lipoprotein cholesterol,C0065055
540,C0006826;C0205177,Malignant Neoplasms Active,Malignant Neoplasms,,,Malignant Neoplasms,C0006826
541,C0019664;C0630906,History vinyltriethoxysilane,Medical History,,,Medical History,C0262926
541,C0019664;C0630906,History vinyltriethoxysilane,vinyltriethoxysilane,,,vinyltriethoxysilane,C0630906
542,C0037369;C0521116,Smoking Current (present time),Smoking Status,,,Smoking Status,C1519386
543,C0070939;C0231220,phosphoethanolamine Symptomatic,phosphoethanolamine,,,phosphoethanolamine,C0070939
544,C1518422;C0037369,Negation Smoking,Smoking Status,,,Smoking Status,C1519386
545,C3811844;C0439445,Estimated Glomerular Filtration Rate mL/min,Estimated Glomerular Filtration Rate,,,Estimated Glomerular Filtration Rate,C3811844
546,C0015127;C0475224,Etiology aspects Ischemic,Etiology aspect,,,Etiology aspect,NA
547,C0015127;C0475224;C1518422,Etiology aspects Ischemic Negation,Ischemic,,,Ischemic,C0475224
548,C1510829;C0876920,Age-Years Median Statistical Measurement,Age-Years,,,Age-Years,C1510829
549,C0042373;C1518422;C3830527,Vascular Diseases Negation Detectable,Vascular Diseases,,,Vascular Diseases,C0042373
550,C0042373;C3830527,Vascular Diseases Detectable,Vascular Diseases,,,Vascular Diseases,C0042373
551,C3166866;C0035647;C0449820,Framingham Risk Score,Risk,,,Risk,C0035647
552,C0444504;C1306620,Statistical mean Systolic blood pressure measurement,Blood Pressure,,,Blood Pressure,C0005823
553,C0070166;C3539076;C2926735,clopidogrel Pretreatment Duration,clopidogrel,Platelet aggregation inhibitors excl. heparin,Antithrombotic Agents,Antithrombotic Agents,C1704311
554,C0003015;C1524063,Angiotensin-Converting Enzyme Inhibitors Use of,Angiotensin-Converting Enzyme Inhibitors,,,Angiotensin-Converting Enzyme Inhibitors,C0003015
