Text,CUIS
history ol chd at baselines,C0280604;C3542407
disposition index,C0743223;C0600653;C0918012;C1552854;C1637833;C2986546;C1705555
bmi kg m,C0022718;C0439209;C4054209
no hypertension n $nmbr$,C0020538;C1963138
fasting glucose,C0015663;C0017725
hypertension n $nmbr$,C0020538;C1963138
cardiovascular metabolic syndrome risk lactors,C0007226;C0524620;C3887460
ecg abnormality resting,C0035253;C1512899
fasting glucose $nmbr$ mg dl,C0015663;C0439269
tc mmol l mg dl,C1532980
bmi $nmbr$ kg m $nmbr$,C0022718;C0439209;C4054209
ldl c mmol l mg dl,C1532980
fasting triglycerides $nmbr$ mg dl,C0015663;C0041004;C0439269
hdl c mmol l mg dl,C1532980
low hdl cholesterol,C0151691
tg mmol l mg dl [median],C1532980;C0549183;C0876920;C2347635;C2348144;C2939193
high blood pressure,C0020538;C2926615
antihypertensive drug,C0003364
lipid trial participantss,C0023779;C0008976
total antihypertensive use,C0042153;C0457083;C1947944
table_group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
^ blocker,
comparison,C1707455
angiotensin ii receptor blocker,C0521942;C3536793
with metabolic syndrome,C0524620
event patients in group incidence $nmbr$ person year,C0030705;C0021149;C0220856
without metabolic syndrome,C0524620
diet group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
a,
diet pravastatin group,C0441833;C0687744;C1257890;C1519504;C1705428;C1705429
amlodipine chlorthalidone,C0051696;C0008294
non dm,C1518422;C0011816;C3250443
combined cvd,C0205195;C0007222
current past,C0521116;C1705970
esrd,C0022661;C0035078;C2316810
uncontrolled,C0205318
b,
controlld,
lisinopril chlorthalidone,C0065374;C0008294
with placebo n $nmbr$ $nmbr$,C0032042;C1696465;C1706408
categories of urinary acr ^g mg,C0683312;C1300563
with alogliptin $nmbr$ $nmbr$ mg n $nmbr$ $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
p for trend,C0369773;C2603361
with alogliptin $nmbr$ mg n $nmbr$ $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
lowest normal n $nmbr$,C0205307;C0231683;C0439166;C2347086;C4553972
age group n,C0441848
low normal n $nmbr$,C0205251;C0205307;C0231683;C0439166;C2347086;C4553972;C1550472;C3890211;C4048187;C4321351;C4522223
black african american,C0085756
medium normal n $nmbr$,C0009458;C0205307;C0231683;C0439166;C2347086;C4553972;C0439536;C1705217;C3244283;C4085196;C4522282;C4522283
native hawaiian other,C0337920
high normal n $nmbr$,C0205250;C0205307;C0231683;C0439166;C2347086;C4553972;C1299351;C2700149;C3887512;C3889660;C4321237;C4522209
alaska native,C0682125
low medium microalbuminuria n $nmbr$,C0205251;C0009458;C0439536;C1705217;C3244283;C4085196;C4522282;C4522283;C1550472;C3890211;C4048187;C4321351;C4522223
baseline hba $nmbr$ c n,C0168634;C0019016;C1825777;C3538758;C1442488
high microalbuminuria to macroalbuminuria n $nmbr$,C0205250;C0730345;C1299351;C2700149;C3887512;C3889660;C4321237;C4522209
patients $nmbr$,C0030705
male acr definition ^ g mg,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
diabetes duration years,C0011847;C0439234;C0011849
female acr definition ^g mg,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
glyburide dose duringthe study mg,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
female sex n,C0086287
with placebo,C0032042;C1696465;C1706408
white n medical history n,C0262926;C1704706
with alogliptin $nmbr$ $nmbr$ mg,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
prior angina pectoris,C0332152;C0002962;C2826257
with alogliptin $nmbr$ mg,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
prior cabg,C0332152;C0010055;C2826257
n $nmbr$ $nmbr$,C0369718;C0441922
prior ptca or cabg,C0332152;C2936173;C2826257;C0010055
baseline hba $nmbr$ c,C0168634;C0019016;C1825777;C3538758;C1442488
current smoker n of patients,C3173209;C3241966
male n $nmbr$,C0086582;C1706180;C1706428;C1706429
dbp $nmbr$ or sbp $nmbr$ mm hg laboratory determinations,C0536221;C3813197;C4281799;C0439475;C0680730
female n $nmbr$,C0043210;C0086287;C1705497;C1705498
egfr ml mn $nmbr$ $nmbr$ m $nmbr$,C0026327;C0026405;C4285072
hispanic or latino n $nmbr$,C0086409;C0086528
mean serum potassium mg dl,C0302353;C0439269;C0543465
not hispanic or latino n $nmbr$,C1518424;C0086528
mean serum cholesterol mg dl,C0587184;C0439269
baseline body mass index,C0005893;C0578022;C1305855
lv function $nmbr$ $nmbr$ and,C0031843;C0542341;C0700205;C1705273
$nmbr$ kg m $nmbr$ n $nmbr$,C0022718;C0439209;C4054209;C0369718;C0441922
j $nmbr$ blocker,
aliskiren n $nmbr$,C1120110
potassium sparing diuretic,C0304490;C3536751
hydochlorothiazide n $nmbr$,
other diuretic,C0012798
obese patients n,C0028754;C0030705
digitalis,C0012252;C0304520
diabetes mellitus n,C0011849
active treatment,C1704532
duration of hypertension y,C0449238;C2926735
hr and $nmbr$ ci,C0008107;C3259781
mssbp mm hg,C0439475
low to medium microalbuminuria n $nmbr$,C0205251;C1550472;C3890211;C4048187;C4321351;C4522223
msdbp mm hg,C0439475
urinary acr,C1412134;C1515941
primary outcome n $nmbr$,C0205225;C0439612;C0439631
values are presented as mean sd unless stated otherwise data shown are for the randomized population body mass index values were missing from $nmbr$ patients in the aliskiren group and $nmbr$ patients in the hydrochlorothiazide group obesity was defined as body mass index $nmbr$ kg m $nmbr$ metabolic syndrome was defined according to the third report of the national cholesterol education program expert panel on detection evaluation and treatment of high blood cholesterol in adults adult treatment panel iii criteria $nmbr$ as any $nmbr$ of the following waist circumference $nmbr$ cm for men or $nmbr$ cm for women triglycerides $nmbr$ mg dl high density lipoprotein cholesterol $nmbr$ mg dl for men or $nmbr$ mg dl for women mssbp $nmbr$ mm hg or msdbp $nmbr$ mm hg fasting glucose $nmbr$ mg dl by medical history aliskiren n $nmbr$ hydrochlorothiazide n $nmbr$,C0042295;C0449450;C0444504;C2347634;C2348143;C1511726;C3245479;C3714741;C1547282;C0005893;C0578022;C1305855;C1551393;C1705492;C3272743;C0441833;C0687744;C1257890;C1519504;C1705428;C1705429;C0030705;C0020261;C1704788;C3539106;C0524620;C0220825;C1261322;C0596197;C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704;C0455829;C0025266;C0023822;C0439269;C0439475;C0262926;C1704706
$nmbr$ $nmbr$ reference,C1514811;C1706462
aliskiren,C1120110
cardiovascular death n $nmbr$,C0007226;C0011065;C1306577;C4082313;C4552775;C3887460
hydrochlorothiazide,C0020261
all cause mortality n $nmbr$,C0015127;C0026565;C0026566;C1524003
$nmbr$ y n $nmbr$,
primary,C0205225;C0439612;C0439631
baseline mssbp msdbp mm hg,C0168634;C0439475;C1442488
companion $nmbr$ $nmbr$ hours,C0031268;C0439227;C0335343;C0682323
change in bp mm hg,C1268766;C0439475
companion wake up stroke,C0038454;C4554100
msdbp,
mean age y mean sd,C0001779;C2699239
changes from baseline in mssbp and msdbp are shown as least squares mean sem p $nmbr$ $nmbr$ vs $nmbr$ y,C0392747;C0443172;C1547282;C0023189
men women,C0025266;C0043210
placebo statin n $nmbr$ $nmbr$,C0032042;C0360714;C1696465;C1706408
mean weight kg mean sd,C0005910;C2699239;C0043100;C1305866;C1705104
ezetimibe $nmbr$ mg statin n $nmbr$ $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
location,C0450429;C1515974;C4284930;C4284931
cad,C1504769;C2239547;C3813548;C4284121
south africa,C0037712
crp mean mg dl sd,C0439269;C2699239
australia,C0004340
ldl cholesterol mean mg dl sd,C0023824;C2699239;C0202117
ct findings,C2607943;C2926606;C3539655
triglycerides mean mg dl sd,C0439269;C2699239
$nmbr$ subjects,C0681850;C1550501;C1706203;C2349001;C2697811
high density lipoprotein cholesterol mean mg dl sd,C0023822;C2699239
$nmbr$ patients,C0030705
new stroke,C0038454;C4554100
figure $nmbr$ treatment differences [ezetimibe statin] [placebo statin] in least squares ls mean percentage change from baseline in crp among subgroups of patients with ongoing statin treatment there were no signif icant treatment by subgroup interactions bmi body mass index dm diabetes mellitus hdl c high density lipoprotein cholesterol ldl c ldl cholesterol tg triglycerides,C1705241;C1705242;C1142985;C0360714;C0032042;C1696465;C1706408;C0392747;C0443172;C4319952;C3890735;C4048285;C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704;C0062152
old stroke,C1536121
parameter variable,C0439828;C4553760
previous tia,C0007787;C0917805;C1054154
amlodipine vaisartan n $nmbr$,C0051696
previous stroke,C0038454;C4554100
age $nmbr$ years n,C1510829
mean systolic bp mmhg mean sd,C0871470;C2699239
f emale,C0016327
mean diastolic bp mmhg mean sd,C0428883;C2699239
race ethnicity n,C0034510;C0015031;C0243103;C1706779;C3853635
mean serum glucose mg dl mean sd,C0202041;C2699239;C3534430
hispanic black,C0005680;C0027567;C0085756;C0439541
mean bmi kg m $nmbr$ s d,C1275571
figure $nmbr$ the distribution of scores on the mrs a and the ef cacy results at $nmbr$ months using the adjusted dichotomous responder analysis b in patients enrolled in the primary cohort is demonstrated for patients treated either with abciximab or placebo in addition the rates of favorable outcomes for patients with a baseline nihss score of $nmbr$ to $nmbr$ desired mrs score $nmbr$ $nmbr$ to $nmbr$ desired mrs score of $nmbr$ to $nmbr$ or $nmbr$ to $nmbr$ desired mrs score $nmbr$ to $nmbr$ are shown b,C0520511;C1704711;C1522706;C2349188;C3714939;C3854213;C1274040;C1546471;C2825142;C1524063;C0002778;C0030705;C0936012;C1524024;C4684790;C0009247;C0599755;C1522326;C0288672;C0032042;C1696465;C1706408;C0871208;C1521828;C0168634;C1442488;C0449820;C4050231;C1547282
mean blood pressure mmhg s d j,C0428886;C0488053
subgroups based on clinical and demographic characteristics also demonstrated a lack of efficacy in the primary outcomes,C1079230;C1527178;C1705938;C0683970;C0235828;C0205225;C1274040;C0439612;C0439631
severity n,C0439793;C0522510
baseline hb $nmbr$ g $nmbr$ $nmbr$ n $nmbr$,C0062408
mean pulse pressure mmhg s d,C0445074;C2347155
baseline hb $nmbr$ g i $nmbr$ n $nmbr$,C0062408;C0086706
populations,C0032659;C1257890
$nmbr$ placebo n $nmbr$,C0032042;C1696465;C1706408
intent to treat population n,C0087111;C0032659;C1257890;C1292734;C1522326
race or ethnicity n,C0034510;C1706779;C3853635;C0015031;C0243103
safety population n,C0036043;C0032659;C1257890;C1705187
diastolic bp mm hg,C0428883;C0439475
uacr mgg $nmbr$ gm,C0017480;C3854019
figure $nmbr$ change in mean sitting systolic blood pressure mssbp mm hg from baseline to week $nmbr$ by treatment strategy and selected subgroups in black patients with stage $nmbr$ hypertension bmi body mass index ci confidence interval ish isolated systolic hypertension n is the number of intent to treat patients of the respective subgroup,C3484017;C3484018;C0168634;C1442488;C0039798;C0679199;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704;C1079230;C0005680;C0027567;C0085756;C0439541;C1305855;C0745133;C0237753;C0449788;C0030705;C1292734
serum creatinine limo $nmbr$ $nmbr$,C0201976;C0600061
all patients n $nmbr$,C0030705
egfr ml min $nmbr$ $nmbr$ $nmbr$ m $nmbr$,C1739039;C0439445;C3811844;C3812682
patients with fistulas at baseline,C0030705;C0016169;C0168634;C1442488
triglycerides mmolt $nmbr$ gm,C0017480;C3854019
adalimumab n $nmbr$,C1122087
serum albumin g $nmbr$ $nmbr$,C0036773;C0439267;C0728877
all patients with fistulas n $nmbr$,C0030705;C0016169
hemoglobin g $nmbr$ $nmbr$,C1319312
male no,C0086582;C1706180;C1706428;C1706429
calcium mmol $nmbr$ $nmbr$,C0006675;C0439190;C0006726;C2936886;C3540037;C3714611
baseline cdai score mean sd,C0168634;C2699239;C1442488
phosphorus mmol $nmbr$ $nmbr$,C0031705;C0439190;C0080014;C3714498
crp concentration $nmbr$ $nmbr$ mg dl $nmbr$ mg l n,C2827881
p valuec,C0369773;C2603361
previous tnf antagonist exposure n,C0205156;C0231491;C1552607
hemoglobin gl^ $nmbr$ for combined hemoglobin groups,C0018229;C1423073;C1427674
any glucocorticoid,C0017710
hemoglobin gl^ $nmbr$ for baseline hemoglobin $nmbr$ gl^ $nmbr$,C0019046;C0018229;C1423073;C1427674
$nmbr$ mercaptopurine,C0000618
hemoglobin gl^ $nmbr$ for baseline hemoglobin gt $nmbr$ gl^ $nmbr$,C0019046;C0018229;C1423073;C1427674
no draining fistulas,C0013103;C0180499;C4265177;C0016169
gmr,C1522544;C1704695
week $nmbr$ of patients,C0332174;C0439230;C0030705
reduction,C0301630;C0392756;C1293152;C4551656
no baseline immunosuppressant use,C0042153;C0457083;C1947944
uacr mgg^ $nmbr$,
both adalimumab groups n $nmbr$,C1122087;C0441848
bsl hb gl $nmbr$,C0018229;C1423073;C1427674
$nmbr$ p $nmbr$ $nmbr$,C0369773;C2603361
rrr $nmbr$ cl,C0596019
baseline immunosuppressant use,C0042153;C0457083;C1947944
p valuea,C0369773;C2603361
no baseline cd related antibiotic use,C0042153;C0457083;C1947944
interaction $nmbr$,C1704675
baseline cd related antibiotic use,C0042153;C0457083;C1947944
k rate,C0871208;C1521828
exenatide,C0167117
cox bsl only,C1565830;C1549954
biasp $nmbr$,
cox bsl yr $nmbr$ hbd,C1549954;C0439234
bid,
esrd or death,C0022661;C0035078;C2316810;C0011065;C1306577;C4082313;C4552775
qd,C0332173
subjects randomized,C0681850;C1550501;C1706203;C2349001;C2697811;C0034656;C3815594
bsl baseline cl confidence interval esrd end stage renal disease hb hemoglobin k rate of events per $nmbr$ patient years of follow up rrr relative risk reduction yr year ^treatment effect of losartan versus placebo interaction test between treatment group and hemoglobin group $nmbr$ or $nmbr$ g i $nmbr$ cmultivariate cox model with baseline log urinary albumimcreatinine ratio serum albumin serum creatinine and hemoglobin as covariates dmultivariate cox model with baseline log urinary albumimcreatinine ratio serum albumin serum creatinine and hemoglobin and change in hemoglobin at year $nmbr$ as covariates,C0026538;C1554093;C3242279;C3242455;C0237455;C1626828;C1565830;C3161035;C3274659;C3714583;C3853906;C0019046;C0201976;C0600061;C0392747;C0443172;C1705241;C4319952;C0439234;C0439508
american indian alaska native,C0886378
hemoglobin category,C0683312;C3889287
black or african american,C0005680;C0027567;C0085756;C0439541
no anemia bsl hb $nmbr$ g i $nmbr$ yr $nmbr$ $nmbr$ g i $nmbr$,C1319635
not hispanic or latino,C1518424;C0086528
improving anemia bsl hb $nmbr$ g i $nmbr$ yr $nmbr$ $nmbr$ g i $nmbr$,C1272745;C1319635
subject completion status n,C3891295
new anemia bsl hb $nmbr$ g i $nmbr$ yr $nmbr$ $nmbr$ g i $nmbr$,C1319635
completed trial,C0205197;C0008976;C3854010
persistent anemia bsl hb $nmbr$ g i $nmbr$ yr $nmbr$ $nmbr$ g i $nmbr$,C1319635
discontinued,C1444662
adverse eventy,
missing hb at yr $nmbr$,C0019046;C0439234
ineffective therapy,C0039798;C0087111;C1363945
bsl baseline cl confidence interval esrd end stage renal disease hb hemoglobin hr hazard ratio k rate of events per $nmbr$ patient years of follow up yr year multivariate cox model with hemoglobin category and baseline urinary albumimcreatinine ratio serum albumin serum creatinine and hemoglobin as covariates,C0026538;C0030705;C0439234;C0683312;C3889287;C0201976;C0600061;C0019046
non compliance,C0376405;C0457432
men total n $nmbr$,C0025266;C0439175;C0439810
otherz,
diet n $nmbr$,C0012155;C0012159;C1519433;C2983588;C3668949
diabetic history years x,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
diet pravastatin n $nmbr$,C0012155;C0012159;C1519433;C2983588;C3668949
figure $nmbr$ b mean change in hba $nmbr$ c values from baseline was plotted against baseline hba $nmbr$ c values of $nmbr$ $nmbr$ for exenatide biasp $nmbr$ qd and biasp $nmbr$ bid number of subject data values used exenatide $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ and $nmbr$ for baseline hba $nmbr$ c $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ and $nmbr$ respectively biasp $nmbr$ qd $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ and $nmbr$ for baseline hba $nmbr$ c $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ and $nmbr$ respectively and biasp $nmbr$ bid $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ and $nmbr$ for baseline hba $nmbr$ c $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ and $nmbr$ respectively,C0565965;C0019016;C1825777;C3538758;C0168634;C1442488;C0042295;C0167117;C0332173;C0243174
total n $nmbr$,C0439175;C0439810
dexlansoprazole mr,C0024485;C1417249;C2347167;C3254418;C4050513
mean sd y,C0444504;C2347634;C2348143
$nmbr$ mg qd n $nmbr$,C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
sbp mean sd mm hg,C0085805;C0439475
non hispanic or latino,C1518424;C0086528
dbp mean sd mm hg,C0444504;C0439475;C2347634;C2348143
native hawaiian or other pacific islander,C0337920;C0242191
smoker n,C0337664
age y mean s d,C0001779;C0444504;C2347634;C2348143
drinking n,C0001948;C0684271;C0369718;C0441922
weight kg mean s d,C0005910;C1275571;C0043100;C1305866;C1705104
lipid values mmol l,C0023779;C1532563
height cm mean s d,C0439392;C0444504;C2347634;C2348143
tc mean sd,C0039411;C2699239;C0040642;C0041405;C0041698;C1824670;C3272447;C4522122
bm $nmbr$ kg m $nmbr$ mean s d,C0022718;C0439209;C4054209;C0444504;C2347634;C2348143
ldl c mean sd,C0444504;C2699239;C2347634;C2348143
helicobacter pylori negative n,C4688581
hdl c mean sd,C0444504;C2699239;C2347634;C2348143
eo severity by la classification at baseline baseline of the healing study n,C0439793;C0522510;C0168634;C0043240;C0205249;C1442488
tg median interquartile range,C0337445;C1711350
d,
lp a mean sd,C0065058;C2699239;C1439335;C4553379
duration of treatment in the healing study n,C0444921;C0043240;C0205249
incidence rate no $nmbr$ person years,C1708485;C0027361;C0439234;C2347489
previous treatment in the healing study n,C1521826;C3161471
diet,C0012155;C0012159;C1519433;C2983588;C3668949
dexlansoprazole mr $nmbr$ mg qd,C0024485;C0332173;C1417249;C2347167;C3254418;C4050513
diet pravastatin,C0012155;C0085542;C0012159;C1519433;C2983588;C3668949
lansoprazole $nmbr$ mg qd,C0024671;C0332173;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761
heterogeneity p value,C0019409;C1709380;C0242960
characteristic age mean sd yr,C0001779;C0439234
chd cerebrovascular disease,C0280604;C0007820;C3542407
dronedarone n $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$,C0766326
hazard ratiof $nmbr$ ci,C0008107;C3259781
placebo n $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$,C0032042;C1696465;C1706408
chd cerebral infarction,C0280604;C0007785;C3542407
all n $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$,C0369718;C0441922
$nmbr$ years $nmbr$ $nmbr$ $nmbr$ $nmbr$,C0439234
structural heart disease no f,C1290384;C0016327
id genotype,C0009450;C0017431;C0600091;C1441613
coronary heart disease no,C0010054;C0010068;C1956346
ii n $nmbr$,C1710602;C4082587
id n $nmbr$,C0009450;C0600091;C1441613
valvular heart disease no,C0018824;C1963123
dd n $nmbr$,C3538867;C3814791
nonischemic cardiomyopathy no,C0878544
race or ethnic group no,C0034510;C1706779;C3853635;C0015031;C1879937
history of chf nyha class ii or iii no,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C0439070;C1705160
body mass index $nmbr$,C0005893;C0578022;C1305855
lvef no i,C0428772;C0488728;C0021966;C0221138
known duration of diabetes yr,C0449238;C2926735
lone atrial fibrillation no,C0340489
not available,C0686905
pacemaker no,C0030163;C0810633;C1546728;C3275122;C3853703
use of antihypertensive drugs,C1524063
medications in use at baseline no,C0013227;C0802604;C2598133;C4284232;C0150312;C0042153;C0457083;C1947944;C0332285;C1707101
coronary revascularization procedure,C0877341
vitamin k antagonists,C3653316
lipid disorder,C0154251
early eptifibatide group n $nmbr$,C0253563;C0441848
amputation,C0002688;C0332840;C1546539
delayed eptifibatide group n $nmbr$,C0205421;C0441848;C1545665;C3272602
neuropathy,C0442874
median yr,C0549183;C0439234;C0876920;C2347635;C2348144;C2939193
laboratory variables,C0022877;C0439828;C3244292;C4283904
interquartile range yr,C1711350;C0439234
urinary albumin creatinine ratio median mg g range,C1514721;C2348147;C3542016
region ofenrollment,C0017446;C0205147
serum creatinine mg dlb,C0752347;C3890365
middle east africa or asia pacific,C0001741;C0003980
glomerular filtration rate $nmbr$ ml min $nmbr$ $nmbr$ m $nmbr$,C0017654;C0439445;C1561549
median ml min,C0549183;C0439445;C0876920;C2347635;C2348144;C2939193
serum cholesterol mg dld,C1414063;C2826331
interquartile range ml min,C1711350;C0439445
serum triglycerides mg dle,C0024138;C3542918
killip class ii iii or iv,C2697846;C0022326;C4265176
hemoglobin g dlf,C1319312
qualifying high risk features,C1514624;C0035648
glycosylated hemoglobin,C0017853
age $nmbr$ yr elevated biomarkers and st segment changes,C0001779;C0005516;C0232326
serum albumin g dl,C0036773;C0439267;C0728877
age $nmbr$ yr and elevated biomarkers,C0001779;C0439234;C0205250;C0005516;C3163633
elevated biomarkers and st segment changes,C0205250;C0005516;C3163633;C0232326
mean sd values are presented for all variables except medical history race or ethnic group and sex n and urinary albumin creatinine ratio median range abody mass index is the weight in kilograms divided by the square of the height in meters bto convert values to micromoles per liter multiply by $nmbr$ $nmbr$ estimated using the modified equation from the modification of diet in renal disease study dto convert values to millimoles per liter multiply by $nmbr$ $nmbr$ eto convert values to millimoles per liter multiply by $nmbr$ $nmbr$ ^to convert values to millimoles per liter multiply by $nmbr$ $nmbr$,C0444504;C0042295;C2347634;C2348143;C0449450;C0439828;C0034510;C1706779;C3853635;C0015031;C1879937;C0009253;C0036864;C0079399;C0804628;C1314687;C1522384;C0600653;C0918012;C1552854;C1637833;C2986546;C0005910;C0043100;C1305866;C1705104;C0332849;C0205120;C1552595;C0439194;C0475211;C0750572;C1524063;C0552449;C0086153;C3671772;C0022658;C1532563;C1719797;C2911648;C0439190
age $nmbr$ yr and st segment changes,C0001779;C0439234;C0232326
losartan n n,C0126174
age $nmbr$ $nmbr$ yr elevated biomarkers and previous vascular,C0001779;C0005516;C0005847;C1558950;C1801960
placebo n n,C0032042;C1696465;C1706408
presentation to tertiary care hospital,C0449450;C0337954
adjusted $nmbr$ risk reduction losartan vs placebo $nmbr$ cl,C1137094;C0126174;C0032042;C0596019;C1696465;C1706408
randomized,C0034656;C3815594
composite endpoint of doubling of serum creatinine esrd or death,C2349179;C2826544;C0011065;C1306577;C4082313;C4552775
low $nmbr$ $nmbr$,C0205251;C1550472;C3890211;C4048187;C4321351;C4522223
id,C0009450;C0600091;C1441613
intermediate $nmbr$ $nmbr$,C0205103;C1550465;C2827755;C3889971
dd,C3538867;C3814791
high $nmbr$ $nmbr$,C0205250;C1299351;C2700149;C3887512;C3889660;C4321237;C4522209
doubling of serum creatinine,C0205173;C1705764
medical therapy during index hospitalization,C0418981;C0019993
or esrd,C0022661;C0035078;C2316810
antithrombin,C0003438;C0003440;C4521254
rosiglitazone,C0289313
unfractionated heparin only,C0019134;C2825026
metformin,C0025598
low molecular weight heparin only,C0019139;C3536766
glyburide,C0017628
both unfractionated heparin and low molecular weight heparin,C0019134;C2825026;C0019139;C3536766
time since diagnosis of diabetes,C0040223;C3541383
$nmbr$ $nmbr$ years,C0439234
neither unfractionated heparin nor low molecular weight heparin,C0019134;C2825026;C0019139;C3536766
a $nmbr$ c,
at any time,C0040223;C3541383
fasting insulin pmol l,C0015663;C0021641;C0439284;C1533581;C1579433;C3714501
early use intended,C0042153;C0457083;C1947944;C1283828;C1551357
estrogen containing hormones,C0014939;C0019932;C2936882;C4542544
temporal data and management strategy,C1511726;C3245479;C3714741;C0001554;C0679199;C0376636;C1273870;C3273539
calcium supplements,C3540037
time from onset of symptoms to presentation hr,C1320528;C0449450
bisphosphonates,C0012544;C3541401
time from presentation to randomization hr,C0040223;C3541383;C0034656
glucocorticoids,C0017710;C3540777;C3540778
time from randomization to study drug initiation hr,C0040223;C3541383;C0013175;C0589507;C1158830;C1704686
thiazide diuretics,C0012802
time from randomization to coronary angiography hr,C0040223;C3541383;C0085532;C1548829
loop diuretics,C0354100
pci no,C4049621
py $nmbr$ $nmbr$,C0030428;C3538810
time from randomization to pci hr,C0040223;C3541383;C4049621
py,C0030428;C3538810
duration of infusion before pci hr,C0449238;C2926735;C4049621
number of patients with fractures,C2360800;C0016658
duration of infusion after pci hr,C0449238;C2926735;C4049621
fractures site not specified,C0449676;C1518422;C0205369
cabg no,C0010055
lower limb fractures,C0596838
time from randomization to cabg hr,C0040223;C3541383;C0010055
hip fracture,C0019557;C0149531;C4552776
duration of infusion before cabg hr,C0449238;C2926735;C0010055
others,C1955473;C3539125
medical management only no,C0199168;C0001554;C0376636;C1273870;C3273539;C0205476
ankle fracture,C0159877;C4552974
duration of infusion during medical management hr,C0449238;C2926735;C0199168;C0001554;C0376636;C1273870;C3273539;C0205476
femur fracture,C0015802
early eptifibatide,C1279919;C0253563
fibula fracture,C0149699
delayed eptifibatide,C0205421;C0253563;C1545665;C3272602
foot fracture,C0272774
troponin,C0041199
lower limb fracture,C0596838
positive,C0439178;C1446409;C1514241;C2825490;C3812269
patella fracture,C0159849
early clopidogrel intended,C1279919;C0070166;C1283828;C1551357
tibia fracture,C0040185
time to randomization,C0040223;C3541383
skull and facial bone fractures,C0037303;C2951888;C0743751
heparin use,C0239945
spinal fractures,C0080179;C0518450
unfractionated only,
thoracic cage fractures,C0222762;C0016658
low molecular weight only,C0041667
upper limb fractures,C0178316
type of hospital care,C0332307;C1547052
clavicle fracture,C0159658
tertiary,C0205372
hand fracture,C0435632
region of the world,C0017446;C0205147
humerus fracture,C0020162
region ofthe world,C0017446;C2700280;C0205147
radius fracture,C0034628
patient characteristics,C0815172
upper limb fracture,C0178316
arterial hypertension n,C0020538
wrist fracture,C0435630;C4553927
insulin requiring,C0021641;C1533581;C1579433;C3714501
py $nmbr$,C0030428;C3538810
history of mi n,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
pelvic fractures,C0149531
history of cabg surgery n,C0455610;C0010055
forearm fracture,C1305215
infarct characteristics,C0021308;C1521970
black participants,C0005680;C0679646;C0027567;C0085756;C0439541
infarct localization n,C0021308;C0475264;C1744691
nonblack participants,C0679646
killip class n,C1881332
i with mets n $nmbr$,C0021966;C0221138
arterial blood pressure mm hg,C1272641;C0439475
i without mets n $nmbr$,C0021966;C0221138
peak creatine kinase mb u l,C0010290;C0439339;C0523584
$nmbr$ $nmbr$ $nmbr$ b,
value for nteraction,C1522609
years of education mean sd,C0439234;C0013621;C0013622;C0013658;C0039401
$nmbr$ $nmbr$ yrs,
$nmbr$ $nmbr$ $nmbr$ $nmbr$ c,
history of mi,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
currentd,
infarct localization,C0475264;C1744691
antihypertensive treatment,C0003364;C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704
non anterior,C1518422;C0205094
treated,C1522326
interval pain onset to admission,C1507009;C0184666;C0809949
untreated,C0332155
interval study drug to pci,C1272706;C0013175;C1552654;C1552713
history of mi or stroke d,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C0038454;C4554100
interval clopidogrel to pci,C1272706;C0070166;C1552654;C1552713
history of coronary revascularization d,C0019664;C0019665;C0262512;C0262926;C1705255;C2004062
